Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Object,obj165,fly,1,0,0,3,0.541,0.9,0,0,0.1,1081,305,1080,297,NA,NA,1088,1,3,Present,3.611,3,11935,0,Singular,1,TRUE
Object,obj166,foot,1,0,0,2,0.141,0.98,0.02,0,0,754,135,758,134,573,NA,NA,1,4,Present,5.79,1,7638,0,Singular,1,TRUE
Object,obj167,football,1,0,0,1,0,1,0,0,0,723,107,723,107,NA,NA,NA,2,8,Present,3.526,3,12165,0,Complex,1,TRUE
Object,obj168,fork,1,0,0,1,0,1,0,0,0,723,120,723,120,NA,NA,NA,1,4,Present,2.773,1,8818,0,Singular,1,TRUE
Object,obj169,fountain,0.98,0,0.02,3,0.691,0.857,0.122,0,0.02,990,292,966,166,1203,NA,752,2,8,Present,2.565,3,32442,0,Singular,2,TRUE
Object,obj170,fox,0.98,0.02,0,3,0.746,0.857,0,0,0.143,988,267,975,254,NA,NA,1066,1,3,Present,2.773,3,16437,0,Singular,1,TRUE
Object,obj171,frog,1,0,0,1,0,1,0,0,0,751,135,751,135,NA,NA,NA,1,4,Present,2.303,1,14773,0,Singular,1,TRUE
Object,obj172,funnel,0.78,0.22,0,2,0.414,0.974,0,0,0.026,1260,445,1243,438,NA,NA,1899,2,6,Present,1.099,3,6468,0,Singular,1,FALSE
Object,obj173,trash,0.98,0,0.02,6,1.916,0.429,0,0.49,0.082,1183,363,1123,357,NA,1173,1563,1,5,Absent,1.609,1,48626,0,Singular,5,FALSE
Object,obj174,gas,0.96,0,0.04,7,2.079,0.396,0.375,0.042,0.188,1310,322,1240,279,1360,1358,1349,1,3,Absent,4.357,3,8961,0,Singular,3,FALSE
Object,obj175,fence,0.96,0.04,0,3,1.099,0.604,0,0,0.396,1040,342,988,307,NA,NA,1118,1,5,Present,3.434,3,13819,1,Singular,2,FALSE
Object,obj176,genie,0.88,0,0.12,2,0.3,0.977,0,0,0.023,1217,268,1214,270,NA,NA,1382,2,5,Present,0.693,3,18559,0,Singular,1,TRUE
Object,obj177,ghost,1,0,0,1,0,1,0,0,0,849,217,849,217,NA,NA,NA,1,5,Absent,3.466,3,23538,0,Singular,1,TRUE
Object,obj178,giraffe,0.98,0.02,0,1,0.029,1,0,0,0,783,155,783,155,NA,NA,NA,2,7,Present,1.099,1,18422,0,Singular,1,TRUE
Object,obj179,girl,1,0,0,3,0.467,0.92,0.06,0,0.02,877,242,861,239,997,NA,1289,1,4,Absent,6.084,1,15540,0,Singular,1,TRUE
Object,obj180,glass,0.98,0,0.02,2,0.874,0.714,0,0.286,0,838,191,845,164,NA,821,NA,1,5,Absent,4.984,1,14175,1,Singular,1,FALSE
Object,obj181,glasses,1,0,0,2,0.242,0.96,0.04,0,0,766,159,758,156,963,NA,NA,2,7,Absent,3.497,1,11525,0,Complex,1,TRUE
Object,obj182,globe,1,0,0,2,0.141,0.98,0,0,0.02,879,203,883,204,NA,NA,697,1,5,Absent,2.485,3,24454,0,Singular,1,TRUE
Object,obj183,glove,1,0,0,1,0,1,0,0,0,848,212,848,212,NA,NA,NA,1,5,Absent,2.996,3,11509,0,Singular,1,TRUE
Object,obj184,goat,0.98,0.02,0,3,0.31,0.959,0,0,0.041,971,338,972,345,NA,NA,959,1,4,Absent,3.367,3,15302,0,Singular,1,TRUE
Object,obj185,gorilla,1,0,0,3,1.098,0.7,0,0,0.3,1015,302,944,255,NA,NA,1181,3,7,Absent,1.386,3,17084,0,Singular,1,TRUE
Object,obj186,grapes,1,0,0,2,0.469,0.9,0.1,0,0,846,200,849,204,816,NA,NA,1,6,Absent,0,2,23841,0,Complex,1,TRUE
Object,obj187,grasshopper,0.98,0,0.02,6,1.457,0.673,0,0,0.327,1244,418,1234,437,NA,NA,1266,3,11,Absent,1.386,3,13119,0,Complex,1,FALSE
Object,obj188,guitar,1,0,0,2,0.141,0.98,0,0,0.02,872,210,870,212,NA,NA,969,2,6,Absent,2.079,3,12032,0,Singular,1,TRUE
Object,obj189,gun,0.98,0,0.02,5,0.687,0.898,0.02,0.061,0.02,758,256,709,146,1143,1410,584,1,3,Absent,4.605,3,10904,1,Singular,1,TRUE
Object,obj190,hair,1,0,0,2,0.141,0.98,0,0,0.02,1007,298,999,296,NA,NA,1396,1,4,Present,5.298,1,41463,0,Singular,1,TRUE
Object,obj191,brush,1,0,0,3,0.764,0.84,0.12,0,0.04,894,216,896,214,892,NA,872,1,5,Absent,2.89,1,16664,1,Singular,1,TRUE
Object,obj192,hamburger,1,0,0,4,0.859,0.84,0.08,0,0.08,847,213,828,179,896,NA,1000,3,9,Present,1.792,2,26501,0,Singular,1,TRUE
Object,obj193,hammer,0.96,0,0.04,1,0.057,1,0,0,0,724,134,724,134,NA,NA,NA,2,6,Present,2.485,1,9533,0,Singular,1,TRUE
Object,obj194,hammock,0.9,0.08,0.02,2,0.526,0.911,0,0,0.089,1403,511,1378,485,NA,NA,1655,2,7,Present,0.693,3,10853,0,Singular,1,FALSE
Object,obj195,hand,0.94,0,0.06,2,0.224,0.979,0,0,0.021,721,207,723,209,NA,NA,598,1,4,Present,6.586,1,13345,0,Singular,1,TRUE
Object,obj196,handcuffs,0.98,0,0.02,4,0.729,0.878,0.061,0,0.061,1139,312,1113,252,1092,NA,1568,2,9,Present,1.099,3,21347,0,Complex,2,TRUE
Object,obj197,hanger,0.98,0,0.02,2,0.494,0.898,0.102,0,0,794,231,777,234,943,NA,NA,2,6,Present,1.099,3,7003,0,Singular,1,TRUE
